rank,name,handle,followers,er,topics
238,Luca Zidane,@luca,1.4M,0.8%,"Sports, Soccer"
239,Manuel Rodríguez,@manualerod,1.4M,3.02%,"Entertainment and Music, Actors, Virtualization"
240,Ana Maria Simón,@anamariasimon,1.4M,0.49%,"Acting and Drama, Entertainment and Music, Funny, Actors"
241,Dani Pedrosa,@26_danipedrosa,1.4M,1.77%,"Sports, Riders, Motorcycle Racing"
242,Libra Horóscopo Negro,@libra_horoscoponegro,1.4M,4.8%,
243,Pablo López,@pablolopezmusic,1.4M,1.43%,"Entertainment and Music, Singer"
244,Nagore Robles,@nagore_robles,1.4M,1.22%,"Entertainment and Music, Actors, Lifestyle"
245,Enzo Zidane,@enzo,1.4M,0.4%,"Sports, Soccer"
246,Football • Soccer • Futbol,@tumejorjugada,1.4M,1.49%,Sports
247,Egan Arley Bernal Gomez,@eganbernal,1.4M,2.6%,
248,Javier Rodríguez Lozano - Mentor & Speaker,@javireelbe,1.3M,1.32%,Education
249,Elena Benito,@elena_lbenito,1.3M,0.85%,"Fashion and Accessories, Travel, Beauty and Self Care, Hair & Beauty"
250,Victoria Caro,@victoriacarotudela,1.3M,0.46%,"Fashion and Accessories, Travel, Marketing and Advertising, Actors"
251,Ana MiLán,@byanamilan,1.3M,1.38%,"Acting and Drama, Actors"
252,Fred Lammie,@casicreativo,1.3M,7.2%,"Animation and Cosplay, Automotive, Actors, Music"
253,Capricornio Horóscopo Negro,@capricornio_horoscoponegro,1.3M,4.6%,
254,Laia López🤍,@itslopez,1.3M,3.59%,"Art, Illustrator, Graphics, Design"
255,TEMPO,@elrealtempo,1.3M,0.7%,"Entertainment and Music, Modeling, Music"
256,Paco Tous,@pacotous,1.3M,0.31%,"Actors, Journalists"
257,Aissa Mandi,@aissamandi23,1.3M,3.85%,Soccer
258,Celia Rubio,@_celiarubio,1.3M,0.14%,"Education, Finance"
259,La Familia Cubana,@lafamiliacubana,1.3M,0.67%,Actors
260,Stanislas Wawrinka,@stanwawrinka85,1.3M,0.8%,
261,Bart.   / Maquillaje / skincare,@makeupbybart_,1.3M,1.56%,"Beauty and Self Care, Entertainment and Music, Product Education"
262,Paul Ferrer,@mrpaulferrer,1.3M,3.51%,"Fashion and Accessories, Humor, Film, Music & Books, Nature & Outdoors"
263,𝕜𝕣𝕚𝕤𝕥𝕙𝕚𝕟 𝔾𝕠𝕞𝕖𝕫,@kristhin_g,1.3M,0.09%,"Beauty and Self Care, Pets, Dogs"
264,ARABELLA CHI,@arabellachi,1.3M,0.49%,"Fitness, Modeling"
265,Esteban Martínez,@estebanshow13,1.3M,0.78%,"Sports, Volleyball"
266,☠️Beatriz☠️,@bbn.makeup,1.3M,1.37%,Beauty and Self Care
267,Beret,@beret1996,1.3M,0.6%,"Fashion and Accessories, Moms, Actors"
268,Ladislao Camara Carranza,@ladislao_9,1.3M,3.6%,"Fashion and Accessories, Home and Garden"
